CustomerID,Gender,Age,Spending Score (1-100),Annual Income ($)
66,Male,18,59," $48,000.00 "
67,Female,43,50," $48,000.00 "
68,Female,68,48," $48,000.00 "
69,Male,19,59," $48,000.00 "
70,Female,32,47," $48,000.00 "
71,Male,70,55," $49,000.00 "
72,Female,47,42," $49,000.00 "
73,Female,60,49," $50,000.00 "
74,Female,60,56," $50,000.00 "
75,Male,59,47," $54,000.00 "
76,Male,26,54," $54,000.00 "
77,Female,45,53," $54,000.00 "
78,Male,40,48," $54,000.00 "
79,Female,23,52," $54,000.00 "
80,Female,49,42," $54,000.00 "
81,Male,57,51," $54,000.00 "
82,Male,38,55," $54,000.00 "
83,Male,67,41," $54,000.00 "
84,Female,46,44," $54,000.00 "
85,Female,21,57," $54,000.00 "
86,Male,48,46," $54,000.00 "
87,Female,55,58," $57,000.00 "
88,Female,22,55," $57,000.00 "
89,Female,34,60," $58,000.00 "
90,Female,50,46," $58,000.00 "
91,Female,68,55," $59,000.00 "
92,Male,18,41," $59,000.00 "
93,Male,48,49," $60,000.00 "
94,Female,40,40," $60,000.00 "
95,Female,32,42," $60,000.00 "
96,Male,24,52," $60,000.00 "
97,Female,47,47," $60,000.00 "
98,Female,27,50," $60,000.00 "
99,Male,48,42," $61,000.00 "
100,Male,20,49," $61,000.00 "
101,Female,23,41," $62,000.00 "
102,Female,49,48," $62,000.00 "
103,Male,67,59," $62,000.00 "
104,Male,26,55," $62,000.00 "
105,Male,49,56," $62,000.00 "
106,Female,21,42," $62,000.00 "
107,Female,66,50," $63,000.00 "
108,Male,54,46," $63,000.00 "
109,Male,68,43," $63,000.00 "
110,Male,66,48," $63,000.00 "
111,Male,65,52," $63,000.00 "
112,Female,19,54," $63,000.00 "
113,Female,38,42," $64,000.00 "
114,Male,19,46," $64,000.00 "
115,Female,18,48," $65,000.00 "
116,Female,19,50," $65,000.00 "
117,Female,63,43," $65,000.00 "
118,Female,49,59," $65,000.00 "
119,Female,51,43," $67,000.00 "
120,Female,50,57," $67,000.00 "
121,Male,27,56," $67,000.00 "
122,Female,38,40," $67,000.00 "
123,Female,40,58," $69,000.00 "
124,Male,39,91," $69,000.00 "
125,Female,23,29," $70,000.00 "
126,Female,31,77," $70,000.00 "
127,Male,43,35," $71,000.00 "
128,Male,40,95," $71,000.00 "
129,Male,59,11," $71,000.00 "
130,Male,38,75," $71,000.00 "
131,Male,47,9," $71,000.00 "
132,Male,39,75," $71,000.00 "
133,Female,25,34," $72,000.00 "
134,Female,31,71," $72,000.00 "
135,Male,20,5," $73,000.00 "
136,Female,29,88," $73,000.00 "
137,Female,44,7," $73,000.00 "
138,Male,32,73," $73,000.00 "
139,Male,19,10," $74,000.00 "
140,Female,35,72," $74,000.00 "
141,Female,57,5," $75,000.00 "
142,Male,32,93," $75,000.00 "
143,Female,28,40," $76,000.00 "
144,Female,32,87," $76,000.00 "
145,Male,25,12," $77,000.00 "
146,Male,28,97," $77,000.00 "
147,Male,48,36," $77,000.00 "
148,Female,32,74," $77,000.00 "
149,Female,34,22," $78,000.00 "
150,Male,34,90," $78,000.00 "
151,Male,43,17," $78,000.00 "
152,Male,39,88," $78,000.00 "
153,Female,44,20," $78,000.00 "
154,Female,38,76," $78,000.00 "
155,Female,47,16," $78,000.00 "
156,Female,27,89," $78,000.00 "
157,Male,37,1," $78,000.00 "
158,Female,30,78," $78,000.00 "
159,Male,34,1," $78,000.00 "
160,Female,30,73," $78,000.00 "
161,Female,56,35," $79,000.00 "
162,Female,29,83," $79,000.00 "
163,Male,19,5," $81,000.00 "
164,Female,31,93," $81,000.00 "
165,Male,50,26," $85,000.00 "
166,Female,36,75," $85,000.00 "
167,Male,42,20," $86,000.00 "
168,Female,33,95," $86,000.00 "
169,Female,36,27," $87,000.00 "
170,Male,32,63," $87,000.00 "
171,Male,40,13," $87,000.00 "
172,Male,28,75," $87,000.00 "
173,Male,36,10," $87,000.00 "
174,Male,36,92," $87,000.00 "
175,Female,52,13," $88,000.00 "
176,Female,30,86," $88,000.00 "
177,Male,58,15," $88,000.00 "
178,Male,27,69," $88,000.00 "
179,Male,59,14," $93,000.00 "
180,Male,35,90," $93,000.00 "
181,Female,37,32," $97,000.00 "
182,Female,32,86," $97,000.00 "
183,Male,46,15," $98,000.00 "
184,Female,29,88," $98,000.00 "
185,Female,41,39," $99,000.00 "
186,Male,30,97," $99,000.00 "
187,Female,54,24," $101,000.00 "
188,Male,28,68," $101,000.00 "
189,Female,41,17," $103,000.00 "
190,Female,36,85," $103,000.00 "
191,Female,34,23," $103,000.00 "
192,Female,32,69," $103,000.00 "
193,Male,33,8," $113,000.00 "
194,Female,38,91," $113,000.00 "
195,Female,47,16," $120,000.00 "
196,Female,35,79," $120,000.00 "
197,Female,45,28," $126,000.00 "
198,Male,32,74," $126,000.00 "
199,Male,32,18," $137,000.00 "
200,Male,30,83," $137,000.00 "
